date;time;latitude;longitude
08-03-2018;16:55;5.0975095;5.8249596
08-03-2018;16:59;50.9749478;5.8263071
08-03-2018;17:02;50.9758381;0.5829886
08-03-2018;17:04;50.9766388;0.5832388
08-03-2018;17:07;50.9779646;5.8348395
08-03-2018;17:10;50.9786356;5.8381652
08-03-2018;17:11;50.9782895;5.8425751
08-03-2018;17:13;50.9781815;5.8413755
08-03-2018;17:16;50.9782849;5.8445323
08-03-2018;17:26;50.9783937;5.8445302
08-03-2018;18:27;50.9782431;5.8446832
08-03-2018;23:12;5.0978346;5.8445849
09-03-2018;08:16;50.9783297;5.8446071
09-03-2018;09:16;50.9783515;5.8447736
09-03-2018;09:26;50.9782297;5.8446781
10-03-2018;07:38;50.9783297;5.8446071
10-03-2018;07:39;50.9796998;5.8419291
10-03-2018;07:43;51.0009954;5.8595975
10-03-2018;07:43;51.0013589;5.8594147
10-03-2018;07:46;51.0017668;5.8593985
10-03-2018;07:54;51.0013589;5.8594147
10-03-2018;07:59;50.9930341;5.8494303
10-03-2018;08:04;50.9543615;5.8044359
10-03-2018;08:09;50.9225361;5.7521895
10-03-2018;08:14;50.8704044;5.7062656
10-03-2018;08:17;50.8504069;5.7049646
10-03-2018;08:20;50.8503114;0.5704988
10-03-2018;08:23;50.8502655;5.7046455
10-03-2018;08:33;50.8504367;5.7046418
10-03-2018;08:33;50.8511473;5.7015393
10-03-2018;08:36;50.8538617;5.6873426
10-03-2018;08:38;50.8513218;5.6800628
10-03-2018;08:40;50.8508787;5.6692751
10-03-2018;08:44;50.8540768;5.6736383
10-03-2018;08:49;50.8540481;5.6736274
10-03-2018;15:40;50.8541148;5.6735659
10-03-2018;15:43;50.8579106;5.6825939
10-03-2018;15:45;5.0854571;5.6990341
10-03-2018;15:48;50.8510745;5.7046218
10-03-2018;15:53;50.8510793;5.7048884
10-03-2018;16:01;50.8510032;5.7047062
10-03-2018;16:02;50.8546952;5.7035247
10-03-2018;16:05;50.8944185;5.7371758
10-03-2018;16:07;50.9308891;5.7492227
10-03-2018;16:12;50.9879778;5.8428836
10-03-2018;16:15;51.0018094;5.8591625
10-03-2018;16:15;51.0027854;5.8595818
10-03-2018;16:18;51.0014094;5.8591332
10-03-2018;16:20;51.0007083;5.8589099
10-03-2018;16:21;5.1001603;5.8591438
10-03-2018;16:23;50.9976422;5.8615521
10-03-2018;16:25;5.0987038;5.8498343
10-03-2018;16:27;50.9793137;5.8437198
10-03-2018;16:29;50.9793202;5.8432945
10-03-2018;16:32;50.9783528;5.8444445
11-03-2018;21:14;50.9781248;5.8445683
11-03-2018;21:20;50.9784616;5.8446456
12-03-2018;07:30;50.9790624;5.8435861
12-03-2018;07:31;50.9783113;5.8446629
12-03-2018;07:33;50.9801604;5.8422174
12-03-2018;07:35;50.9865378;5.8493244
12-03-2018;07:38;51.0004173;5.8592891
12-03-2018;07:38;51.0006603;0.5859019
12-03-2018;07:40;51.0014857;5.8591821
12-03-2018;07:43;51.0009393;5.8583929
12-03-2018;07:47;51.0006603;0.5859019
12-03-2018;07:49;50.9885613;5.8521174
12-03-2018;07:52;50.9671137;5.8429304
12-03-2018;07:54;50.9615061;5.8377008
12-03-2018;07:57;50.9389769;5.8757646
12-03-2018;08:03;50.9016574;5.9306484
12-03-2018;08:08;50.8867451;5.9591221
12-03-2018;08:09;5.0890787;0.5973595
12-03-2018;08:14;50.8919229;5.9729796
12-03-2018;08:17;50.8922326;5.9716494
12-03-2018;08:19;50.8921455;5.9704261
12-03-2018;10:34;50.8928369;5.9706365
12-03-2018;10:37;5.0892102;5.9704867
12-03-2018;12:11;50.8925454;5.9715013
12-03-2018;12:23;50.8920766;5.9706264
12-03-2018;15:07;50.8925025;5.9707986
12-03-2018;17:08;50.8932327;5.9721483
12-03-2018;17:09;50.8917612;5.9750004
12-03-2018;17:11;50.8921098;5.9754489
12-03-2018;17:13;50.8909925;0.5974533
12-03-2018;17:15;50.8909707;5.9744738
12-03-2018;17:21;50.8913697;0.5974788
12-03-2018;17:29;50.9195732;5.8919739
12-03-2018;17:31;50.9384797;0.5878332
12-03-2018;17:36;50.9581546;5.8377405
12-03-2018;17:41;50.9699514;5.8435752
12-03-2018;17:43;50.9710039;5.8416265
12-03-2018;17:46;50.9713263;5.8406338
12-03-2018;17:48;50.9720763;5.8415581
12-03-2018;17:51;50.9740301;5.8427943
12-03-2018;17:53;50.9754952;5.8445912
12-03-2018;17:55;50.9774923;5.8455863
12-03-2018;17:55;50.9768178;5.8468836
12-03-2018;17:58;50.9780643;5.8449721
12-03-2018;18:00;50.9779866;5.8446651
12-03-2018;18:42;50.9783547;5.8445886
12-03-2018;21:07;50.9786955;5.8448664
12-03-2018;22:05;50.9783655;5.8446797
12-03-2018;22:13;50.9782695;5.8446662
12-03-2018;22:40;50.9783633;5.8446305
12-03-2018;23:16;50.9783374;5.8446162
13-03-2018;08:17;50.9792218;5.8435552
13-03-2018;08:17;50.9797765;5.8421497
13-03-2018;08:22;5.0980304;5.8422266
13-03-2018;08:25;50.9802684;5.8422007
13-03-2018;08:28;50.9798543;5.8427155
13-03-2018;08:31;50.9783827;5.8446427
13-03-2018;08:33;5.0980693;0.5843031
13-03-2018;08:33;50.9798207;5.8423783
13-03-2018;08:35;50.9874601;5.8506457
13-03-2018;08:38;50.9936031;5.8572371
13-03-2018;08:40;50.9981988;5.8569706
13-03-2018;08:41;51.0008849;5.8587515
13-03-2018;08:45;5.1000745;5.8580307
13-03-2018;08:47;51.0008379;0.5858685
13-03-2018;08:49;50.9925924;5.8496524
13-03-2018;08:52;50.9491421;5.7894619
13-03-2018;08:54;50.9308613;5.7491851
13-03-2018;08:57;50.8902669;5.7384159
13-03-2018;08:59;50.8597901;0.5708585
13-03-2018;09:05;50.8513483;5.7041355
13-03-2018;09:07;50.8526352;5.6940699
13-03-2018;09:09;50.8547119;5.6900142
13-03-2018;09:11;50.8547721;5.6845043
13-03-2018;09:14;50.8491058;5.6751182
13-03-2018;09:16;50.8501867;5.6701637
13-03-2018;09:18;50.8540995;0.5672712
13-03-2018;09:20;50.8542234;5.6727103
13-03-2018;09:23;50.8541057;5.6735321
13-03-2018;14:24;5.0854148;5.6717133
13-03-2018;14:34;50.8540991;5.6732472
13-03-2018;14:35;50.8503224;5.6696149
13-03-2018;14:37;50.8492046;5.6777008
13-03-2018;14:39;50.8545956;0.5684575
13-03-2018;14:43;50.8517875;5.6943125
13-03-2018;14:45;50.8503667;5.7048142
