Time,Latitude,Longitude
24/03/2018 15:54,356982538,1397743161
24/03/2018 15:52,356979733,1397749886
24/03/2018 15:23,356982915,1397738837
24/03/2018 15:19,356995244,1397741458
24/03/2018 15:15,356982538,1397743161
24/03/2018 15:11,356907424,1397784458
24/03/2018 15:04,356678026,1397722147
24/03/2018 14:51,356677674,1397721654
24/03/2018 12:59,356680667,1397722974
24/03/2018 12:56,356676037,1397717633
24/03/2018 12:53,356678308,1397722601
24/03/2018 12:46,3569117,1397803794
24/03/2018 12:42,356907912,1397784749
24/03/2018 12:36,356912446,1397795857
24/03/2018 10:50,35691115,1397806463
24/03/2018 10:48,356913472,139779738
24/03/2018 10:46,356907513,139778456
24/03/2018 10:45,356909768,1397790041
24/03/2018 10:39,356980202,139774934
24/03/2018 10:34,35697974,1397749603
24/03/2018 10:33,356984663,1397717452
24/03/2018 10:31,356979738,1397740042
24/03/2018 10:28,356986625,1397721806
24/03/2018 10:12,356984628,1397710525
24/03/2018 10:03,35698287,1397721998
24/03/2018 09:51,356985152,1397714458
24/03/2018 09:47,356992384,1397717756
24/03/2018 09:44,35699577,1397715623
24/03/2018 09:39,356984354,1397747511
24/03/2018 09:37,356985381,1397746089
24/03/2018 09:34,356990823,1397755274
24/03/2018 09:30,356911542,1397803865
24/03/2018 09:22,356913763,139779669
24/03/2018 08:26,356913429,1397807113
24/03/2018 08:24,356912937,139779661
24/03/2018 08:21,356907144,1397784228
24/03/2018 08:21,35690975,1397789697
24/03/2018 08:03,356583683,1398177346
24/03/2018 08:01,356461242,1398271655
24/03/2018 08:00,356461167,1398271752
24/03/2018 07:54,356461187,1398271559
24/03/2018 07:51,356440341,1398126516
24/03/2018 07:49,356392846,139800188
24/03/2018 07:46,356326651,1397923007
24/03/2018 07:44,356343727,139791702
24/03/2018 07:17,356325166,1397922262
24/03/2018 07:11,356302686,1397937198
24/03/2018 07:09,356322877,1397924003
24/03/2018 07:06,356303296,1397930963
24/03/2018 07:00,356302114,1397939014
24/03/2018 06:56,35630809,139795059
24/03/2018 06:56,356304481,1397946992
24/03/2018 06:55,356321577,1397977698
24/03/2018 06:51,356313639,1397969638
24/03/2018 06:46,356309672,1397978445
24/03/2018 06:37,356322825,1397986724
24/03/2018 06:19,356349467,1397959597
24/03/2018 06:12,356330433,1397985637
24/03/2018 06:08,356322703,1397977837
24/03/2018 06:01,357255227,1397168444
24/03/2018 05:58,356995058,1397392429
24/03/2018 05:55,35630819,1397948255
24/03/2018 05:52,35631202,1397964821
24/03/2018 05:39,356307777,1397950407
24/03/2018 05:35,356308637,1397949891
24/03/2018 05:31,356299619,1397944636
24/03/2018 05:27,356305876,1397931986
24/03/2018 05:25,356310127,1397931006
24/03/2018 05:21,356340101,1397914666
24/03/2018 05:18,356345092,1397916573
24/03/2018 05:14,356462507,1398274495
24/03/2018 04:58,356461877,1398271628
24/03/2018 04:52,356460055,1398269523
24/03/2018 04:50,3564438,139825
24/03/2018 04:47,356607971,1398143538
24/03/2018 04:25,356761219,1397773505
24/03/2018 04:15,356908174,1397784809
24/03/2018 04:09,356911541,1397804699
24/03/2018 03:44,356911367,1397791969
24/03/2018 03:41,356909121,1397801581
24/03/2018 01:54,356908363,1397818649
24/03/2018 01:52,356897058,1397812325
24/03/2018 01:50,35690035,1397806021
24/03/2018 01:37,356910244,13977999
23/03/2018 18:45,356912162,1397807341
23/03/2018 18:40,35690171,1397805981
23/03/2018 18:35,356910541,1397817789
